SMILES	pKi
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@@]3(C)NC(=N)N(C)S(=O)(=O)C34CC4)c2)nc1	8.2218
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]3(C)CN(C)S(=O)(=O)C(C)(C)C(=N)N3)c2)nc1	7.8239
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]34CCC[C@H]3S(=O)(=O)N(C)C(=N)N4)c2)nc1	8.5229
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]34COC[C@H]3S(=O)(=O)C(C)(C)C(=N)N4)c2)nc1	9
C#CCOc1ccc(C(=O)Nc2ccc3c(c2)[C@@]2(C)NC(=N)N(C)S(=O)(=O)[C@@H]2CCO3)nc1	7.6021
C#CCOc1ccc(C(=O)Nc2ccc3c(c2)[C@]2(CCC3)CS(=O)(=O)N(C)C(=N)N2)nc1	7.3768
C#CCOc1ccc(C(=O)Nc2ccc3c(c2)[C@]2(CCO3)CS(=O)(=O)N(C)C(=N)N2)nc1	7.4815
C#CCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CN(C)S(=O)(=O)C(C)(C)C(=N)N3)c2)cn1	8.6383
C#CCOc1cnc(C(=O)Nc2ccc(F)c([C@]34COC[C@H]3S(=O)(=O)C(C)(C)C(=N)N4)c2)cn1	9
C#CCOc1cnc(C(=O)Nc2ccc3c(c2)[C@]2(CCC3)CS(=O)(=O)N(C)C(=N)N2)cn1	7.9586
C#CCOc1cnc(C(=O)Nc2ccc3c(c2)[C@]2(CCO3)CS(=O)(=O)N(C)C(=N)N2)cn1	7.8861
C=C1C(=O)C(C)=C(C)C1(C)C	3.381
C=CCCOc1cc([C@]23CO[C@@H](C)C[C@H]2C(=O)N(C)C(=N)N3)c(F)cn1	7.7932
C=CCCn1cc(F)c([C@]23CO[C@@H](C)C[C@H]2C(=O)N(C)C(=N)N3)cc1=O	5.0755
C=CC[C@@]1(C)C(=N)N[C@](C)(c2cc(NC(=O)c3cnc(OC)cn3)ccc2F)CS1(=O)=O	8.3979
C=CC[C@]1(C)C(=N)N[C@](C)(c2cc(NC(=O)c3cnc(OC)cn3)ccc2F)CS1(=O)=O	7.4737
C=Cc1cc(Cl)cc(CN=C(N)NC(=O)c2c(-c3ccc(OC)cc3)noc2C)c1	6.3665
CC#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CCN(C)CC4)C(=N)N3)c2)nc1	8.6383
CC#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CN(C)C4)C(=N)N3)c2)nc1	8.6383
