SMILES,Predicted_pKi,MW,HBD,HBA,LogP,TPSA,SA,predicted_pKi_random,std_random,norm_random,penalized_random
Cc1ncnc(C(=O)[6*]CC[C@@H](CN)N([5*]C=CC[C@@H](N[5*][6*]C(=O)[C@@H](O)[C@@H]2CCSC2)C(C)C)OC2[C@H]3CNC[C@H]2C3)n1,-0.4180729961707247,575.7800000000001,4.0,12.0,1.5410200000000027,155.59000000000003,7.344152056754178,8.280039886045987,0.20898463176974588,0.7824565658340812,0.6348912866961843
CC#CC(=O)N1CCC([9*]Cc2cc(F)cnc2C(=O)[10*][6*]c2cnc(NC[3*]Oc3ncccc3F)cn2)CC1,-0.7052526318492598,506.51300000000026,1.0,8.0,2.5631000000000004,110.2,5.016558064570242,8.264380760506238,0.11758541906604207,0.7797793094272835,0.6932741528735364
C[C@@H]1CN(CCN(C[3*]Oc2csc(CCl)c2)C[5*]N[C@H]2C[C@H]3CC[C@@H]2N3)C(=O)[7*]CCN(C=NN[5*][14*]c2nccc3cc(F)cnc23)C(=O)NCC#C[5*]N1,-1.0334061795582243,740.3100000000001,5.0,12.0,2.395400000000002,151.38,6.740747583304231,8.232538269372952,0.12075397958908582,0.7742625219824931,0.6861916845121732
CC(C[10*]c1cccc(C#N)c1N)(C[11*]C(=O)c1ccc(Cl)cn1)c1cc(C[1*]C2CCCCCN2)cnc1[7*][16*]c1ccc(F)c(F)c1C=O,-1.0303588027494937,642.1500000000003,2.0,7.0,5.215280000000004,121.76,5.948662005165267,8.114289957787639,0.09642891690286928,0.7529280268280707,0.6837146993712251
N#Cc1cc([9*]COc2cccnc2[8*][5*]N2CCCN(CC=C[4*]CCNC(=O)CC3CC3)CCC2)cnc1F,-1.1809005506638712,506.6260000000004,1.0,7.0,2.19058,94.38,4.926693834184476,8.076950297338263,0.12453146414548415,0.7459164216971162,0.6585774265959298
Cc1ccc(NC[14*]c2nccc3ccoc23)c(C[7*][8*]CO[C@H](CC=C[5*][C@H]2CC(C)(C)N(O)C2(C)C)C(C)C[9*]c2cncc(-c3nnco3)c2)c1,-1.0761912418148154,664.8510000000002,2.0,10.0,7.183120000000008,122.57,6.409212080656079,8.052813240985937,0.1691252659752054,0.7413147526390725,0.6259684913501781
CC(=O)C[C@@H](C(C)=O)C(=O)[1*]CC[C@H]1CO[C@@H](C)CN([4*]Cc2nc(CN)ccc2[C@H](C)[4*][12*]c2ncc(Cl)cc2F)C1,-1.15350166067167,561.0980000000002,1.0,8.0,3.640500000000002,115.48,6.040370384616465,8.031312163294174,0.13328239172375542,0.7371702069627082,0.6451845626300969
C#CC(C)(C)N(C)CCO[3*]CCCN([5*][10*]COc1cc(F)cc(F)c1)Nc1ccccc1C[9*]C[C@@H]1CCCCN1CC#C[14*]c1cccc(Cl)c1,-1.1709013273591569,691.3069999999999,1.0,6.0,7.681400000000009,40.21,5.786822558123818,8.008735396716066,0.20197185548277558,0.732772591423257,0.5987616194066014
CC(C)OC(=O)[C@@H]([38*]CC(C)(C)[C@@H](N)C[8*][6*]Oc1cc(C[4*][7*]C(=O)c2ncc(OC[3*]Oc3cnncc3Cl)nc2C[14*]c2ncc(CCl)cn2)ccc1F)C#N,-0.9510023292151816,755.6349999999998,1.0,14.0,5.256680000000005,198.20999999999995,6.641637952815639,7.974690118748038,0.07006834554859126,0.7260533502337949,0.6769213905351855
Cc1cc(C(=O)[1*][5*]Nc2cnc(F)c(OC[10*]N[C@H](C)c3ncc(F)cc3F)n2)nc(C[5*]C(=O)[C@@H](N)CCC(=O)O)n1,-1.2378931862536322,562.5090000000002,4.0,12.0,1.63042,195.2,5.650108436154362,7.950994981382671,0.07408723819151067,0.7213152327867756,0.6698066037599869
[5*]N[C@H](C(=O)[1*]COc1cccnc1O[9*]Cc1nc([4*][16*]c2cccc(CN=C=S)c2)ncc1F)C1CC1,-0.9986165911484756,478.5290000000002,1.0,9.0,2.0087,98.59,5.725277588682964,7.930384382317072,0.1630620073533657,0.717153261824565,0.6092493128802212
Cc1c(C[14*]c2ccc(Cl)cn2)nc(C[9*]OC2CN(C(=O)C(C)C[13*][C@H]3CC(=O)[C@@H](C#N)O3)c3ccccc32)n1[9*][1*]C(=O)c1ccc(C#N)cn1,-1.005613883761942,664.1220000000001,0.0,11.0,4.057180000000003,164.08999999999995,6.418417738517285,7.911740979313204,0.15401664742235255,0.7133562888176348,0.6115302069295515
CCN(CC#N)C(=O)C[1*][1*]C(=O)c1ncc(C#N)cc1C[6*]OC(=O)C[C@@H](C)C#CCOCC[1*]C(=O)c1ccc(C(=O)C[5*]NCc2cnc(F)cc2C)cc1,-1.193970632546676,722.7740000000002,1.0,12.0,4.635280000000004,192.44,5.864274297647467,7.909718498756294,0.07849629811854215,0.7129425554370546,0.6591193010914256
