SMILES,Predicted_pKi,Max_Sim_AD,Zone,MW,TPSA
Cc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3cc(F)ccc3F)C2)Sc2nc(F)cc(F)c2c1,8.401694,0.5641025641025641,Zone B (Novel),490.48600000000016,87.18
Cc1nc(N2C[C@H]3C(=O)N(C)C(=N)N[C@@]3(c3cc(-c4ccc(F)cc4)cs3)C2)nc(F)c1F,8.384673,0.7012987012987013,Zone A (Safe),472.4960000000001,85.21000000000001
CN1C(=N)N[C@@]2(c3cc(-c4ccc(F)c(F)c4)cs3)CN(c3ncc(F)cn3)C[C@H]2C1=O,8.332303,0.8285714285714286,Zone A (Safe),458.46900000000016,85.21000000000001
CN1C(=O)[C@@H]2CN(c3nccc(F)c3F)C[C@]2(c2cc(-c3ccc(F)c(F)c3)ccc2F)N=C1N,8.321182,0.547945205479452,Zone B (Novel),487.43200000000013,74.82000000000001
CN1C(=N)N[C@@]2(c3cc(-c4ccc(Cl)cc4)cs3)CN(c3ncc(F)cn3)C[C@H]2C1=O,8.282396,0.8382352941176471,Zone A (Safe),456.9340000000002,85.21000000000001
CN1C(=O)[C@@H]2CN(c3ccc(F)cn3)C[C@]2(c2cc(-c3ccc(F)c(F)c3)cs2)N=C1N,8.275339,0.7567567567567568,Zone A (Safe),457.4810000000001,74.82000000000001
CN1C(=O)[C@@H]2CN(c3cccc(F)n3)C[C@]2(c2cc(-c3ccc(F)cc3F)cs2)N=C1N,8.254108,0.5903614457831325,Zone B (Novel),457.4810000000001,74.82000000000001
CN1C(=N)N[C@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CS1C(F)F,8.2114725,0.6666666666666666,Zone B (Novel),429.44300000000004,81.11
CN1C(=N)N[C@](C)(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CS1(F)F,8.193206,0.8360655737704918,Zone A (Safe),431.87100000000004,81.11
CN1C(=N)N[C@@]2(c3cc(-c4ccc(F)cc4F)cs3)CN(c3ncc(F)cn3)C[C@H]2C1=O,8.177101,0.7761194029850746,Zone A (Safe),458.46900000000016,85.21000000000001
CN1C(=O)[C@@H]2CN(c3ncccn3)C[C@]2(c2cc(-c3ccc(F)c(F)c3)cc(F)c2F)N=C1N,8.168621,0.547945205479452,Zone B (Novel),470.4300000000001,87.71000000000001
CN1C(=O)[C@@H]2CN(c3ccc(F)cn3)C[C@]2(c2cc(-c3ccc(F)cc3)cc(F)c2F)N=C1N,8.161045,0.5555555555555556,Zone B (Novel),469.4420000000001,74.82000000000001
CN1C(=N)N[C@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)Sc2ccc(F)cc21,8.142907,0.5753424657534246,Zone B (Novel),457.4810000000001,81.11
Cc1nc(N2C[C@H]3C(=O)N(C)C(=N)N[C@@]3(c3cc(-c4ccc(F)cc4)cs3)C2)nc(C)c1F,8.120411,0.7534246575342466,Zone A (Safe),468.53300000000013,85.21000000000001
CN1C(=N)N[C@@]2(c3cc(-c4ccc(F)cc4)cs3)CN(c3ncc(F)cn3)C[C@H]2C1=O,8.105368,0.8548387096774194,Zone A (Safe),440.4790000000002,85.21000000000001
CN1C(=O)[C@@H]2CN(c3ccc(F)cn3)C[C@]2(c2cc(-c3cccnc3)cc(F)c2F)N=C1N,8.102429,0.5529411764705883,Zone B (Novel),452.4400000000001,87.71000000000001
CN1C(=O)[C@@H]2CN(c3ncc(F)cn3)C[C@]2(c2cc(-c3cccc(F)c3)cs2)N=C1N,8.089747,0.8260869565217391,Zone A (Safe),440.47900000000016,87.71000000000001
Nc1cc(F)c(C2=N[C@](C)(c3cc(NC(=O)c4ccc(F)cn4)ccc3F)CSC2)cc1,8.062356,0.56,Zone B (Novel),456.49300000000017,80.36999999999999
CN1[C@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)N=C(N)N1C(F)F,8.05801,0.6119402985074627,Zone B (Novel),396.348,86.85
CN1C(=O)[C@@H]2CN(c3nccs3)C[C@]2(c2cc(-c3ccc(F)c(F)c3)cs2)N=C1N,8.056943,0.5769230769230769,Zone B (Novel),445.52000000000015,74.82000000000001
CN(C)c1c(F)cccc1N1C[C@H](C)[C@@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)N=C1N,8.0427685,0.5384615384615384,Zone B (Novel),496.53700000000015,86.85
CN1C(=O)[C@@H]2CN(c3ccc(F)cn3)C[C@]2(c2cc(-c3cccc(C(F)(F)F)c3)cs2)N=C1N,8.042347,0.7763157894736842,Zone A (Safe),489.4980000000001,74.82000000000001
Cc1nc(N2C[C@H]3C(=O)N(C)C(=N)N[C@@]3(c3ccc(F)cc3)C2)nc(-c2ccc(F)cc2)c1F,8.038821,0.625,Zone B (Novel),466.46700000000016,85.21000000000001
