SMILES,InChI_ID,BDB_DOI,Experimental_Ki_nM,Predicted_pKi,Max_Sim_AD,Zone,Experimental pKi
CC#Cc1cncc(-c2cc(Cl)c([C@]3(C)CS(=O)(=O)N(C)C(=N)N3)s2)c1,VKVMIZCLMUKTTA-KRWDZBQOSA-N,10.7270/Q2CJ8BN7,2387,7.25,0.696969697,Zone A (Safe),5.62
CN1C(=O)C(c2cccc(-c3cncc(Cl)c3)c2)(C2CC2)N=C1N,SZDQNTKTWBPIBH-UHFFFAOYSA-N,10.1016/j.bmcl.2012.02.013,59,6.91,0.823529412,Zone A (Safe),7.23
CN1C(=O)C(c2cccc(-c3cncc(F)c3)c2)(C2CC2)N=C1N,SYCWNJCJKWUGNM-UHFFFAOYSA-N,10.1016/j.bmcl.2012.02.013,160,6.89,0.690909091,Zone B (Novel),6.80
C[C@@]1(c2sc(-c3cccc(C#N)c3)cc2Cl)Cc2ncncc2C(=N)N1,ZCYWICRGFKUFMK-IBGZPJMESA-N,10.7270/Q24T6MPT,35.2,6.83,0.806451613,Zone A (Safe),7.45
CN1C(=N)N[C@](C)(c2sc(-c3ccc(-c4ccccc4)[nH]3)cc2Cl)CS1(=O)=O,WVWGFCSJXQRWQR-IBGZPJMESA-N,10.7270/Q2VX0FFW,2.1,6.72,0.770491803,Zone A (Safe),8.68
CN1C(=O)C(c2cccc(-c3cccnc3)c2)(C2CC2)N=C1N,WPHFNWNNCCSZJG-UHFFFAOYSA-N,10.1016/j.bmcl.2012.02.013,270,6.69,0.730769231,Zone A (Safe),6.57
CN1C(=O)C(c2cccc(-c3cnccc3)c2)(C2CC2)N=C1N,WPHFNWNNCCSZJG-UHFFFAOYSA-N,10.1016/j.bmcl.2012.02.013,270,6.69,0.730769231,Zone A (Safe),6.57
CN1C(=O)C(c2cccc(-c3cccc(Cl)c3)c2)(C2CCC2)N=C1N,VZGLDYSDFDRZHL-UHFFFAOYSA-N,10.1016/j.bmcl.2012.02.013,110,6.38,0.9375,Zone A (Safe),6.96
CN1C(=O)C(c2cccc(-c3cccc(Cl)c3)c2)(C2CCCC2)N=C1N,TYMVGXIPQGTWEX-UHFFFAOYSA-N,10.1016/j.bmcl.2012.02.013,470,6.38,0.978723404,Zone A (Safe),6.33
C[C@@]1(c2sc(Br)cc2F)CS(=O)(=O)[C@@](C)(c2ccccn2)C(=N)N1,QGJRGRFFMPLSTL-GJZGRUSLSA-N,10.7270/Q2BV7FJJ,1500,6.24,0.661016949,Zone B (Novel),5.82
CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5ccncc5)cc4)cccc3c2F)CS1(=O)=O,ODFLRDCKRBCMEZ-DEOSSOPVSA-N,10.7270/Q2HM57C6,351,6.11,0.796875,Zone A (Safe),6.45
