SMILES,pKi,Scaffold,Split,BCUT2D_MWHI,BCUT2D_MRHI,AvgIpc,BalabanJ,BertzCT,Chi2v,Chi3n,HallKierAlpha,Ipc,Kappa2,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA4,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA10,SlogP_VSA3,SlogP_VSA4,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState8,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAtomStereoCenters,NumHeteroatoms,MolLogP,fr_Ar_N,fr_NH0,fr_NH1,fr_Ndealkylation1,fr_guanido,fr_halogen,fr_pyridine,MACCS_79,MACCS_86,MACCS_98,MACCS_100,MACCS_108,MACCS_110,MACCS_117,MACCS_128,MACCS_133,MACCS_138
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@@]3(C)NC(=N)N(C)S(=O)(=O)C34CC4)c2)nc1,8.2218,N=C1NC(c2cccc(NC(=O)c3ccccn3)c2)C2(CC2)S(=O)(=O)N1,Train,32.23365223205799,7.910930646506433,3.6057138066056793,1.6308547504351143,1284.8547409740038,10.365451916869858,6.207023720650672,-3.65,30772805.83106868,7.738100261902613,15.37044016181271,28.61456508690874,0.0,15.982845722151419,5.907179729351506,0.0,22.0974065442472,0.0,50.09721578785069,18.298509749057747,11.735768823996422,27.577411726186487,30.051328151143547,18.97134255119644,53.60327924151248,18.093296047759807,10.077801322358383,15.56221640579093,23.57028866131332,36.52867891392113,0.0,124.48,31.443616759675095,12.990104268152233,21.537990047815512,16.56949645521183,16.673316576617893,13.613818608326536,-0.9930961565717944,1.205151322544371,6.925653676826133,1.6413011922226062,1.0,1.0,1.0,11.0,2.0323700000000002,1.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]3(C)CN(C)S(=O)(=O)C(C)(C)C(=N)N3)c2)nc1,7.8239,N=C1CS(=O)(=O)NCC(c2cccc(NC(=O)c3ccccn3)c2)N1,Train,32.23363702550929,7.908671087792621,2.8195528441078928,1.8931421278181073,1271.2559518196183,11.21828988446374,5.706882133203445,-3.4899999999999998,18383180.031876296,9.04025215845097,15.37044016181271,34.45018487266601,0.0,10.023291153407584,5.907179729351506,0.0,22.0974065442472,0.0,51.10304694137992,24.843266154970323,11.735768823996422,27.45347694319992,31.057159304672776,25.516098957109016,53.60327924151248,18.093296047759807,10.077801322358383,15.56221640579093,23.57028866131332,36.52867891392113,0.0,124.48,51.35745822751795,12.990104268152233,21.537990047815512,16.56949645521183,16.68515429832146,13.906684333320236,-0.7930712774422526,1.3370907800629428,6.988389877933857,4.3895243696241355,1.0,1.0,1.0,11.0,2.32087,1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]34CCC[C@H]3S(=O)(=O)N(C)C(=N)N4)c2)nc1,8.5229,N=C1NC2(c3cccc(NC(=O)c4ccccn4)c3)CCCC2S(=O)(=O)N1,Train,32.23351268574562,7.899891320392205,3.2336350523781636,1.6274223968341075,1258.5375594799464,10.005662392531443,5.980697941822358,-3.65,25961083.803535573,8.365054499338791,15.37044016181271,29.117480663673355,0.0,15.982845722151419,5.907179729351506,0.0,22.0974065442472,0.0,49.594300211086086,18.298509749057747,11.735768823996422,27.577411726186483,30.051328151143547,18.97134255119644,53.60327924151248,18.093296047759807,10.077801322358383,15.56221640579093,23.57028866131332,36.52867891392113,0.0,124.48,37.50998382813671,6.06636706846161,21.537990047815512,16.56949645521183,16.68497102620637,12.759441833618979,-0.819456110275498,1.2713074337491828,6.989246783822017,0.07473521593406063,1.0,1.0,2.0,11.0,2.0323699999999993,1.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
C#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]34COC[C@H]3S(=O)(=O)C(C)(C)C(=N)N4)c2)nc1,9.0,N=C1CS(=O)(=O)C2COCC2(c2cccc(NC(=O)c3ccccn3)c2)N1,Train,32.22821296880672,7.9396370266253165,3.235673496315701,1.6454794161565907,1303.630843520022,11.230807933097617,6.180588620449367,-3.4899999999999998,35613103.82715514,8.37710081768364,20.10730311561276,45.239048155031526,9.837253136417502,0.0,5.907179729351506,0.0,17.792190552950967,0.0,44.1793097416893,11.250837766380558,19.41060750063891,27.267438926209838,29.383360134964327,25.137434497545087,53.60327924151248,18.093296047759807,10.077801322358383,20.113041342600894,23.57028866131332,36.52867891392113,0.0,130.46999999999997,38.24341917637916,6.06636706846161,21.537990047815512,21.30635940901188,16.70224477378315,12.760822652150095,-1.1944665371582188,1.2350961379617966,6.835610862339099,2.6452454514458794,2.0,1.0,2.0,11.0,1.8529699999999996,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
C#CCOc1ccc(C(=O)Nc2ccc3c(c2)[C@@]2(C)NC(=N)N(C)S(=O)(=O)[C@@H]2CCO3)nc1,7.6021,N=C1NC2c3cc(NC(=O)c4ccccn4)ccc3OCCC2S(=O)(=O)N1,Train,32.23351262308246,7.899770743125825,2.9330155311951422,1.6348409623781872,1254.9279190055095,9.997881452680536,5.803881900606715,-3.7800000000000002,21439792.126116626,8.290483024830134,20.10730311561276,29.049771655911364,0.0,15.982845722151419,5.907179729351506,0.0,17.70699149657238,0.0,37.255572541998674,24.719331371983756,18.34265078850934,27.577411726186487,24.133422104982152,25.57822451570936,47.78605840046659,23.84280788104371,5.687386274683562,15.56221640579093,17.753067820267425,36.52867891392113,0.0,133.71,19.310882622751876,31.189205473537065,21.537990047815512,21.30635940901188,16.796853742255752,13.094234917519207,0.01589111194672399,2.6074709161301985,8.112943558828317,2.0343285654842678,2.0,1.0,2.0,11.0,1.5117699999999998,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
C#CCOc1ccc(C(=O)Nc2ccc3c(c2)[C@]2(CCC3)CS(=O)(=O)N(C)C(=N)N2)nc1,7.3768,N=C1NC2(CCCc3ccc(NC(=O)c4ccccn4)cc32)CS(=O)(=O)N1,Train,32.2333855728995,7.893019443241184,2.765680506491222,1.5941562203202408,1219.8725533009506,9.831204392529262,5.742755362429501,-3.58,13506842.391327389,8.163633643455372,15.37044016181271,18.050321792645285,0.0,15.982845722151419,5.907179729351506,0.0,17.70699149657238,0.0,54.654836126018466,12.735058257360752,17.48862243074321,27.577411726186483,24.801390121161372,24.72419615794323,53.34950989216358,18.093296047759807,5.687386274683562,21.98303802871694,17.753067820267425,36.52867891392113,0.0,124.48,19.310882622751876,18.19910120538483,21.537990047815512,16.56949645521183,16.779217425383326,14.051619061841274,1.6140575070369594,2.1091327570609293,8.61771050437809,0.11221056110171368,1.0,1.0,1.0,10.0,1.6770699999999998,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
C#CCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CN(C)S(=O)(=O)C(C)(C)C(=N)N3)c2)cn1,8.6383,N=C1CS(=O)(=O)NCC(c2cccc(NC(=O)c3cnccn3)c2)N1,Train,32.2336370348141,7.908670688777649,2.8195528441078928,1.8931421278181073,1273.2902466690189,11.079024181804252,5.5799039561623065,-3.5599999999999996,18383180.031876296,8.999016952514097,15.37044016181271,22.093791074869188,6.606881964512918,15.903279489842955,5.907179729351506,0.0,27.081385065194407,0.0,38.970312804456704,24.843266154970323,17.932612395609496,27.45347694319992,31.057159304672776,25.516098957109016,47.667388676202336,18.223772550911274,10.077801322358383,15.56221640579093,23.57028866131332,30.59278834861098,0.0,137.37,45.421567662207806,6.923737199690624,26.52196856876272,16.56949645521183,20.534831145338952,13.849739888875792,-0.9599308453434874,0.9639806382406795,3.9195664601123372,4.295190050097508,1.0,1.0,1.0,12.0,1.7158699999999998,2.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C#CCOc1cnc(C(=O)Nc2ccc3c(c2)[C@]2(CCC3)CS(=O)(=O)N(C)C(=N)N2)cn1,7.9586,N=C1NC2(CCCc3ccc(NC(=O)c4cnccn4)cc32)CS(=O)(=O)N1,Train,32.2333855821272,7.893019072134121,2.765680506491222,1.5941562203202408,1221.841248502727,9.691938689869774,5.615777185388362,-3.65,13506842.391327389,8.123171323799125,15.37044016181271,5.693927994848461,6.606881964512918,21.86283405858679,5.907179729351506,0.0,22.690970017519586,0.0,42.52210198909525,12.735058257360752,23.685466002356286,27.577411726186483,24.801390121161372,24.72419615794323,47.413619326853436,18.223772550911274,5.687386274683562,21.98303802871694,17.753067820267425,30.59278834861098,0.0,137.37,19.441359125903343,12.13273413692322,26.52196856876272,16.56949645521183,20.67948832707704,13.99467461739683,1.4348522601233795,1.738368294251012,5.4149046277868145,0.04971056110171368,1.0,1.0,1.0,11.0,1.0720699999999996,2.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
C#CCOc1cnc(C(=O)Nc2ccc3c(c2)[C@]2(CCO3)CS(=O)(=O)N(C)C(=N)N2)cn1,7.8861,N=C1NC2(CCOc3ccc(NC(=O)c4cnccn4)cc32)CS(=O)(=O)N1,Train,32.233385603998926,7.893021934332939,2.765680506491222,1.5941562203202408,1224.0317120088969,9.275859374090992,5.222208922400448,-3.85,13506842.391327389,8.00793680832549,20.10730311561276,11.443439828132366,6.606881964512918,21.86283405858679,5.907179729351506,0.0,22.690970017519586,0.0,18.19910120538483,24.71933137198376,30.292347966869205,27.577411726186483,11.959746875309355,31.331078122456148,41.85016783515644,23.97328438419518,5.687386274683562,15.56221640579093,17.753067820267425,30.59278834861098,0.0,146.60000000000002,19.441359125903343,18.19910120538483,26.52196856876272,21.30635940901188,20.60354696905235,13.818302735310663,-0.013535328382493717,2.0251787711960074,4.942682405564593,0.33143322323848423,2.0,1.0,1.0,12.0,0.5182700000000003,2.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
C=C1C(=O)C(C)=C(C)C1(C)C,3.381,C=C1CC=CC1=O,Train,16.138919637902625,6.119097964999589,2.062481837753883,3.270767749724564,266.59736457353586,3.6826775358252055,2.8691230147705453,-0.8500000000000001,233.0604476661888,2.0663698798969823,0.0,0.0,5.783244946364939,0.0,0.0,0.0,0.0,0.0,19.420578929450514,10.988094999466046,0.0,5.783244946364939,27.694948798762496,0.0,23.2982492738063,0.0,0.0,4.794537184071822,5.41499046939678,23.2982492738063,0.0,17.07,0.0,0.0,6.578935683598497,0.0,11.373726851851853,0.0,2.6539351851851856,0.13194444444444486,0.0,11.757060185185185,0.0,0.0,0.0,1.0,2.4879000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
