SMILES,Predicted_pKi,MW,HBD,HBA,LogP,TPSA,SA,predicted_pKi_random,std_random,norm_random,penalized_random
CC(C[4*][C@@H](C)N1CCO[C@H](C[9*]NC(=O)c2ccc(C#N)cn2)CC1)OCCCC(=O)N[10*][16*]c1ccc(F)c(F)c1C=O,-0.9005941126454677,571.6250000000005,2.0,8.0,2.7592800000000013,133.65,5.6697680047845145,8.270872966974801,0.09804259529230526,0.7808921488380084,0.7079648540818622
C[C@H](C#CCOC[C@H](O)C[8*][C@@H](CO)N=c1cncc[nH]1)CCN[5*]CC(C[16*]c1cc(F)c(F)cc1F)C(=O)[9*][5*]N(CC[14*]c1ncc(C#N)cc1Cl)C(=O)NN,-0.912627271790287,760.2179999999996,6.0,11.0,1.5701800000000012,214.87,7.0704591130814745,8.217559608052955,0.10394534943447795,0.7716338006593615,0.6954539074102905
CC[C@H]([3*][12*]c1cnc(OCC2CC2)cn1)CCC[10*]NC(=O)c1ccc(C#C[1*]C(=O)/C(F)=C(\C[11*]C(=O)c2ccc(C#N)cn2)C(=O)O)c(C)n1,-0.8056916121920137,652.6830000000001,2.0,10.0,4.345300000000003,185.12,5.817211027135175,8.157806076833484,0.03260807206008276,0.7609338390354741,0.7365214373323509
CC(=C[3*]OCCCN(C)C)[C@@H](CS[11*][1*]C(=O)CCCOCN(C[9*]OC(=O)CC[C@@H](C)C(=O)CC(C)C)C[10*]c1ccc(C(F)(F)F)cn1)N1CCC(=O)CC1,-1.0007268649307044,772.9720000000001,0.0,12.0,5.522100000000006,118.57999999999998,6.113034093534921,8.097339777039299,0.2493131171707556,0.7497613281736358,0.5843159282653478
CC(C)(C[3*]C(=O)N[C@H](CC[3*]Oc1ccc(F)c([16*][4*]c2ccc(Cl)c(Cl)c2)n1)OCC1(C#N)CC1)C[11*]N[C@@H](CO)CC[10*]C(=O)c1ccc(C#N)cn1,-0.6381208693829341,725.649,3.0,10.0,6.005360000000007,170.25,6.48293716842556,8.095611292096782,0.10047394418084618,0.749436891093514,0.6777972273297849
C[C@@H](OC[16*]NC(=O)c1ccc(C#N)cn1)C(=O)CO[3*]NNC(=O)/C=C(/C[5*]Nc1cc[nH]c2nccc1-2)CC(=O)C(=O)[1*][14*]c1ncc(Cl)cn1,-0.6589546308627912,675.062,5.0,14.0,0.7915800000000007,243.06999999999996,5.924091328140007,8.064296138357502,0.1373798591515473,0.743510686557356,0.6480729582828751
CC(C)(C(=O)OC[15*]c1cc(F)ccc1F)[C@@H]([2*][6*]c1nc(Cl)ncc1F)C[1*]C(=O)c1c([16*][7*]NC(=O)c2cc(C#N)c[nH]2)cccc1C#N,-0.8889758430928821,635.0020000000001,2.0,8.0,3.4539600000000013,161.61999999999998,5.910386210973851,8.027327502886756,0.09194950134714411,0.7363974485743043,0.6717058243392847
CC[C@@H](CC[3*]OCC1(C(=O)O)CC1)N(C)C(=O)C[10*]CCS(=O)(=O)NC(=O)[8*][10*]CN1CCC[C@]1(C)CCOC[14*]c1cc(C)c(F)cn1,-0.8335331317012195,656.8180000000002,2.0,9.0,3.3884200000000035,155.44,6.294335840253034,8.026969576188645,0.07302437628155446,0.7363279633086017,0.6844744007188088
N#CCCS[11*]CC(S[15*]NC(=O)c1ccc(F)cn1)[SH](C[5*]N=Cc1ccc(Cl)cn1)CC(=O)[1*][9*]C[C@H]1COC(=O)N1,-0.9019660371642312,613.162,3.0,10.0,4.254480000000004,146.43,6.445068863027249,8.01235826313847,0.17240229906202145,0.7334814114440908,0.617327672036485
COC(=O)[C@H]1CC[C@@H]([7*]C[C@@H]2CC[C@H](C)N2[C@@H](C)[5*]Cc2noc(CN(C)C)c2[11*][8*]NC(=O)c2ccc(F)cn2)C(=O)O1,-1.0700175663253644,559.6390000000002,1.0,10.0,2.2799000000000005,127.1,6.106535854257925,8.009762072212832,0.0689093687438762,0.7329735838063738,0.6841658055555866
CN([5*]CC(C[5*]N[C@@H]1CCc2ccccc21)C(=O)c1ccnc([10*][5*]c2ncc(F)c(OCC[4*]CC(=O)CCCNCC#C[1*]c3ccc(Cl)cn3)n2)c1)c1ccccc1,-1.0319535107705349,774.3410000000001,2.0,10.0,5.754600000000005,122.23000000000002,6.194960167857156,7.99240755828404,0.13188378026576056,0.729563197824918,0.6394204477115113
